"filename", "language", "Dart", "comment", "blank", "total"
"f:\Code\quickshift\lib\const\bindings\global_tab_shortcut_bindings.dart", "Dart", 12, 0, 2, 14
"f:\Code\quickshift\lib\const\color.dart", "Dart", 4, 0, 2, 6
"f:\Code\quickshift\lib\const\consts.dart", "Dart", 11, 61, 3, 75
"f:\Code\quickshift\lib\const\dimensions.dart", "Dart", 1, 0, 1, 2
"f:\Code\quickshift\lib\data\drift\database.dart", "Dart", 21, 0, 6, 27
"f:\Code\quickshift\lib\data\drift\database.g.dart", "Dart", 342, 9, 31, 382
"f:\Code\quickshift\lib\data\drift\settings.dart", "Dart", 61, 2, 15, 78
"f:\Code\quickshift\lib\data\drift\settings_notifier.dart", "Dart", 38, 0, 7, 45
"f:\Code\quickshift\lib\data\drift\settings_notifier.g.dart", "Dart", 14, 7, 6, 27
"f:\Code\quickshift\lib\data\torrent\current_server_config_provider.dart", "Dart", 11, 0, 3, 14
"f:\Code\quickshift\lib\data\torrent\current_server_config_provider.g.dart", "Dart", 15, 8, 6, 29
"f:\Code\quickshift\lib\data\torrent\torrent_client_provider.dart", "Dart", 54, 0, 9, 63
"f:\Code\quickshift\lib\data\torrent\torrent_client_provider.g.dart", "Dart", 141, 20, 33, 194
"f:\Code\quickshift\lib\data\torrent\torrent_provider.dart", "Dart", 41, 0, 6, 47
"f:\Code\quickshift\lib\data\torrent\torrent_provider.g.dart", "Dart", 28, 8, 8, 44
"f:\Code\quickshift\lib\exceptions\torrent\client_init_timeout.dart", "Dart", 6, 0, 1, 7
"f:\Code\quickshift\lib\exceptions\torrent\client_not_initalized.dart", "Dart", 10, 0, 3, 13
"f:\Code\quickshift\lib\exceptions\torrent\invalid_transmission_session_id.dart", "Dart", 9, 0, 3, 12
"f:\Code\quickshift\lib\exceptions\torrent\no_server_provided.dart", "Dart", 9, 0, 3, 12
"f:\Code\quickshift\lib\extensions\theme.dart", "Dart", 4, 0, 1, 5
"f:\Code\quickshift\lib\icons\dynamic_icons.dart", "Dart", 0, 0, 2, 2
"f:\Code\quickshift\lib\main.dart", "Dart", 32, 1, 5, 38
"f:\Code\quickshift\lib\models\backends\torrent_client_interface.dart", "Dart", 62, 0, 18, 80
"f:\Code\quickshift\lib\models\backends\torrent_client_type.dart", "Dart", 9, 0, 4, 13
"f:\Code\quickshift\lib\models\backends\transmission\lib.dart", "Dart", 127, 0, 15, 142
"f:\Code\quickshift\lib\models\backends\transmission\raw_transmission_torrent_data.dart", "Dart", 888, 1, 46, 935
"f:\Code\quickshift\lib\models\backends\transmission\transmission_client.dart", "Dart", 61, 1, 10, 72
"f:\Code\quickshift\lib\models\backends\transmission\transmission_server_config.dart", "Dart", 73, 1, 8, 82
"f:\Code\quickshift\lib\models\backends\unconnected_torrent_client.dart", "Dart", 34, 0, 9, 43
"f:\Code\quickshift\lib\models\server.dart", "Dart", 11, 1, 2, 14
"f:\Code\quickshift\lib\models\shortcuts\actions\close_tab.dart", "Dart", 10, 0, 4, 14
"f:\Code\quickshift\lib\models\shortcuts\intents\close_tab.dart", "Dart", 4, 0, 2, 6
"f:\Code\quickshift\lib\models\torrent\torrent_column.dart", "Dart", 12, 0, 4, 16
"f:\Code\quickshift\lib\models\torrent\torrent_data.dart", "Dart", 111, 6, 12, 129
"f:\Code\quickshift\lib\models\torrent_status.dart", "Dart", 43, 0, 7, 50
"f:\Code\quickshift\lib\router.dart", "Dart", 9, 0, 2, 11
"f:\Code\quickshift\lib\screens\fluent\main_screen.dart", "Dart", 16, 0, 3, 19
"f:\Code\quickshift\lib\state\tabs.dart", "Dart", 87, 1, 16, 104
"f:\Code\quickshift\lib\state\tabs.g.dart", "Dart", 35, 10, 10, 55
"f:\Code\quickshift\lib\state\torrent_status.dart", "Dart", 14, 0, 5, 19
"f:\Code\quickshift\lib\state\torrent_status.g.dart", "Dart", 126, 19, 30, 175
"f:\Code\quickshift\lib\state\ui.dart", "Dart", 0, 35, 0, 35
"f:\Code\quickshift\lib\widgets\areas\main_area\main_area.dart", "Dart", 44, 0, 3, 47
"f:\Code\quickshift\lib\widgets\areas\main_area\panels\filter_panel.dart", "Dart", 39, 1, 4, 44
"f:\Code\quickshift\lib\widgets\areas\main_area\panels\torrents_panel\torrent_column.dart", "Dart", 103, 1, 3, 107
"f:\Code\quickshift\lib\widgets\areas\main_area\panels\torrents_panel\torrent_context_menu.dart", "Dart", 33, 0, 2, 35
"f:\Code\quickshift\lib\widgets\areas\main_area\panels\torrents_panel\torrents_panel.dart", "Dart", 86, 0, 8, 94
"f:\Code\quickshift\lib\widgets\areas\main_area\widgets\torrent_data_fields\not_available_text.dart", "Dart", 13, 0, 3, 16
"f:\Code\quickshift\lib\widgets\areas\main_area\widgets\torrent_data_fields\torrent_data_field.dart", "Dart", 6, 0, 2, 8
"f:\Code\quickshift\lib\widgets\areas\main_area\widgets\torrent_data_fields\torrent_eta_field.dart", "Dart", 24, 0, 6, 30
"f:\Code\quickshift\lib\widgets\areas\main_area\widgets\torrent_data_fields\torrent_progress_field.dart", "Dart", 45, 2, 4, 51
"f:\Code\quickshift\lib\widgets\areas\main_area\widgets\torrent_data_fields\torrent_speed_field.dart", "Dart", 29, 0, 4, 33
"f:\Code\quickshift\lib\widgets\areas\main_area\widgets\torrent_data_fields\torrent_string_field.dart", "Dart", 38, 0, 4, 42
"f:\Code\quickshift\lib\widgets\areas\settings\settings_dialog.dart", "Dart", 55, 2, 5, 62
"f:\Code\quickshift\lib\widgets\dialog\default_dialog_frame.dart", "Dart", 61, 0, 4, 65
"f:\Code\quickshift\lib\widgets\icons\qbittorrent_icon.dart", "Dart", 11, 0, 3, 14
"f:\Code\quickshift\lib\widgets\icons\transmission_icon.dart", "Dart", 11, 0, 3, 14
"f:\Code\quickshift\lib\widgets\tabs\title_tab.dart", "Dart", 92, 1, 4, 97
"f:\Code\quickshift\lib\widgets\tabs\title_tab_bar.dart", "Dart", 70, 3, 6, 79
"f:\Code\quickshift\lib\widgets\test_border.dart", "Dart", 16, 0, 3, 19
"f:\Code\quickshift\lib\widgets\toolbar\toolbar.dart", "Dart", 84, 2, 7, 93
"f:\Code\quickshift\lib\widgets\toolbar\toolbar_icon_button.dart", "Dart", 24, 0, 4, 28
"f:\Code\quickshift\lib\widgets\toolbar\toolbar_quick_connect_dropdown_icon_button.dart", "Dart", 164, 0, 9, 173
"f:\Code\quickshift\lib\widgets\util\duration.dart", "Dart", 9, 0, 3, 12
"f:\Code\quickshift\lib\widgets\util\logging.dart", "Dart", 17, 0, 6, 23
"f:\Code\quickshift\lib\widgets\util\logging.g.dart", "Dart", 13, 7, 6, 26
"f:\Code\quickshift\lib\widgets\window\custom_window_button.dart", "Dart", 25, 0, 3, 28
"f:\Code\quickshift\lib\widgets\window\title_bar.dart", "Dart", 28, 1, 3, 32
"f:\Code\quickshift\lib\widgets\window\window_buttons.dart", "Dart", 34, 0, 3, 37
"Total", "-", 3770, 211, 478, 4459